User_ID,Time_Lapse(ms),Time(epoch),Left_Height(Norm),Right_Height(Norm),Left_Height(Raw),Right_Height(Raw)
0,56217,1642157367521,[0.00708008 1.11080933],[-0.01379395 -0.01805115],[-0.01922607 -1.10601807],[ 1.13067627 -2.21217346]
0,56346,1642157367650,[-2.20996094  2.22814941],[ 0.07312012 -0.03436279],[ 2.29785156 -2.23648071],[-0.02526855  2.28994751]
0,56489,1642157367793,[ 0.01000977 -2.15408325],[ 2.18908691 -2.090271  ],[-0.06469727  2.20849609],[-2.23742676 -0.10171509]
0,56639,1642157367943,[-0.01727295  1.04449463],[-0.00946045  1.06005859],[-1.08416748 -0.00112915],[-1.10211182  1.14559937]
0,56771,1642157368075,[-2.12719727  0.056427  ],[-2.15405273 -2.1557312 ],[ 4.39331055 -2.17138672],[ 4.39916992 -2.2918396 ]
0,56919,1642157368223,[ 2.16015625 -0.00788879],[1.07928467e+00 7.93457031e-04],[-2.19519043  0.00897217],[-1.07562256  0.00865173]
0,57067,1642157368371,[-2.20959473  0.02838135],[ 2.25170898 -0.02554321],[ 4.44702148 -0.00762939],[-2.26306152  2.27536011]
0,57200,1642157368504,[-1.1149292  -0.02513123],[-1.11218262  1.08462524],[-1.14129639 -0.0098877 ],[ 2.23242188 -4.43591309]
0,57331,1642157368635,[-0.02978516  0.04064941],[ 2.18774414 -2.17019653],[2.29614258 0.06860352],[ 0.01379395 -0.0539856 ]
0,57482,1642157368786,[ 2.28417969 -2.13925171],[-2.22412109  0.05938721],[-0.01843262 -0.0272522 ],[ 6.76098633 -0.17929077]
0,57613,1642157368917,[-1.14849854 -0.04066467],[-0.00427246  1.05528259],[-1.0960083  -0.00543213],[ 0.02246094 -1.07609558]
0,57748,1642157369052,[-4.38061523  0.03793335],[-2.13525391 -0.01330566],[-0.1348877   0.00759888],[-2.34545898  0.0682373 ]
0,57910,1642157369214,[3.34136963 1.09185791],[-2.26080322  0.01391602],[-1.0703125   1.13450623],[2.25500488 2.27015686]
0,58058,1642157369362,[2.1784668  4.48504639],[ 2.21826172 -4.37661743],[ 2.23388672 -0.0524292 ],[4.36560059 8.87597656]
0,58214,1642157369518,[2.21044922 0.02146912],[-0.05908203  0.00856018],[-1.11914062  2.21768188],[-1.02984619  1.04049683]
0,58361,1642157369665,[-2.1817627   2.17773438],[ 0.05761719 -0.05459595],[ 2.27490234 -4.37161255],[-0.0098877  -2.06887817]
0,58500,1642157369804,[-0.00189209 -1.11216736],[-0.00891113  0.03529358],[-1.12371826  1.10966492],[-0.02661133  1.046875  ]
0,58647,1642157369951,[-2.1072998   2.19186401],[-2.12487793 -0.04541016],[ 2.15441895 -2.24578857],[-1.46484375e-03 -2.14468384e+00]
0,58792,1642157370096,[ 2.16870117 -2.1739502 ],[-0.00366211  0.01895142],[-2.16711426  4.33905029],[-0.04577637  2.06658936]
0,58940,1642157370244,[-0.02978516 -0.00036621],[0.01257324 0.00669861],[-0.00842285 -1.0385437 ],[ 1.09710693 -1.04598999]
0,59099,1642157370403,[-1.07507324 -0.00210571],[-0.02783203 -0.00805664],[-0.03326416 -0.0332489 ],[-1.0614624  0.0085144]
0,59252,1642157370556,[ 2.14355469 -0.0430603 ],[0.03564453 2.12316895],[0.10632324 0.01272583],[-0.06713867 -2.16375732]
0,59393,1642157370697,[0.00512695 0.03533936],[-0.02209473 -0.01849365],[-0.03015137  0.03286743],[-0.01257324  2.24578857]
0,59527,1642157370831,[-1.09844971 -1.1197052 ],[-0.015625   -1.05380249],[-0.02233887  1.09086609],[ 0.02319336 -0.05264282]
0,59665,1642157370969,[ 0.03820801 -2.19628906],[2.44140625e-04 4.39248657e+00],[-0.01940918  0.0461731 ],[-2.22949219 -6.61929321]
0,59796,1642157371100,[-1.16229248 -1.13612366],[2.22595215 0.0259552 ],[ 0.0345459 -1.1242981],[ 1.16369629 -1.13983154]
0,59928,1642157371232,[-4.390625    6.68395996],[ 2.30285645 -4.51815796],[ 4.38500977 -4.44775391],[6.63110352 6.64251709]
0,60097,1642157371401,[ 1.10906982 -0.02159119],[0.02386475 0.00447083],[ 0.06072998 -1.08708191],[-3.31604004 -1.08106995]
0,60249,1642157371553,[-2.25610352 -6.56219482],[2.06921387 2.30700684],[-0.09973145  2.05432129],[2.27380371 0.01565552]
0,60388,1642157371692,[2.22167969 2.0831604 ],[0.06115723 2.08743286],[0.11523438 0.10379028],[-6.86425781 -8.92330933]
0,60519,1642157371823,[ 0.03094482 -1.08406067],[-3.30493164 -1.01199341],[-0.02752686 -0.03010559],[5.6060791  2.16799927]
0,60652,1642157371956,[-0.03466797 -0.02926636],[2.15734863 2.11425781],[ 0.00280762 -0.04782104],[-6.62036133 13.56033325]
0,60795,1642157372099,[-0.01757812  4.41622925],[ 4.48486328 -2.28515625],[0.04382324 0.18084717],[-11.23962402  -8.97756958]
0,60944,1642157372248,[-1.07373047  0.05921936],[-1.08093262 -1.08805847],[-0.05950928  2.12747192],[-1.16217041  2.22669983]
0,61097,1642157372401,[1.10784912 1.10276794],[1.07641602 0.00231934],[-0.01116943  0.00512695],[1.13977051 0.00949097]
0,61230,1642157372534,[-0.01733398 -4.47824097],[-2.17932129  2.20401001],[ 0.01977539 -4.33673096],[-0.02099609 -6.72314453]
0,61355,1642157372659,[ 2.21020508 -2.20422363],[-2.33422852  0.11502075],[-0.02624512 -0.03314209],[ 2.27575684 -6.83639526]
0,61489,1642157372793,[-0.04504395  2.09036255],[4.45129395 2.09194946],[0.02160645 0.0161438 ],[ 0.01062012 -0.01055908]
0,61634,1642157372938,[-2.24707031  0.04826355],[-0.02478027 -1.07751465],[ 0.07147217 -1.06549072],[1.12738037 1.17134094]
0,61775,1642157373079,[6.72766113 4.4682312 ],[-8.7989502  -0.11767578],[-0.07824707  6.52072144],[-0.08166504 11.17456055]
0,61908,1642157373212,[1.13226318 0.01808167],[ 0.00823975 -1.05593872],[-1.07189941 -0.02200317],[0.04846191 1.12098694]
0,62029,1642157373333,[ 0.03845215 -0.03814697],[0.01708984 2.11672974],[-2.26306152 -0.04620361],[-0.06188965 -2.17556763]
0,62164,1642157373468,[-0.07055664  0.01647949],[ 2.09375    -0.02844238],[-2.33947754 -2.2008667 ],[0.07141113 0.07672119]
0,62314,1642157373618,[-1.0390625  -1.08123779],[-1.034729  -1.0368042],[-1.10931396 -0.02397156],[-0.00836182  1.0459137 ]
0,62467,1642157373771,[2.06591797 2.22125244],[ 2.05993652 -0.04431152],[ 0.0090332  -2.16900635],[ 4.37976074 -0.0423584 ]
0,62617,1642157373921,[0.0246582  0.00733948],[-1.03735352 -0.00149536],[0.02618408 0.03462219],[ 2.25091553 -1.12327576]
0,62746,1642157374050,[2.13098145 2.10336304],[1.99597168 2.03945923],[-2.23803711 -0.06365967],[ 2.32849121 -2.12194824]
0,62922,1642157374226,[ 0.01159668 -0.00402832],[-1.04034424 -0.00918579],[1.11779785 0.01957703],[ 2.13903809 -1.09431458]
0,63075,1642157374379,[-0.0267334  -0.01025391],[2.0769043  0.01165771],[-0.00146484 -0.02597046],[-4.31225586  0.02749634]
0,63210,1642157374514,[-1.05151367  0.01077271],[-1.03808594 -1.04011536],[1.09222412 1.08718872],[1.0859375  1.04225159]
0,63414,1642157374718,[-0.00421143 -1.07572937],[0.01190186 0.00474548],[0.00268555 1.09223938],[ 0.0045166  -0.01957703]
0,63597,1642157374901,[ 0.01928711 -0.02651978],[-0.01519775  1.0460968 ],[-1.09814453  0.00352478],[-1.05999756 -1.04492188]
0,63806,1642157375110,[ 0.02178955 -0.00439453],[-0.01580811 -0.00616455],[-0.04772949 -0.00489807],[-0.0213623  -0.00132751]
0,64019,1642157375323,[-0.03045654  0.0479126 ],[ 0.02972412 -1.02285767],[ 0.03344727 -2.18969727],[1.07092285 2.15301514]
0,64177,1642157375481,[ 2.18212891 -0.12826538],[-0.00402832  2.08105469],[-2.22363281  2.22348022],[-4.44555664 -6.57012939]
0,64336,1642157375640,[0.01025391 0.0302887 ],[-0.02508545 -0.01112366],[1.08721924 0.01071167],[1.12695312 1.11587524]
0,64529,1642157375833,[-1.09350586  1.12506104],[-1.04608154 -1.02038574],[-1.07635498 -2.23149109],[1.09594727 1.04096985]
